"","seq_orgao","seq_orgao_pai","latitude","longitude","placeId"
"152","10134","2034.0",-22.1302,-51.3918,"ChIJX6v0RVL0k5QR2vw4ZyF4Tzs"
"153","10135","2034.0",-22.1302,-51.3921,"ChIJ5wxkRVL0k5QRIG8DVbf_pLE"
"154","10136","2035.0",-21.8805,-51.8532,"ChIJH412MctkkZQRJaqOthsE6_o"
"155","10137","2035.0",-21.8806,-51.8532,"ChIJm2JExDR7kZQRNJn9XnSWefo"
"156","10138","2035.0",-21.8806,-51.8532,"ChIJm2JExDR7kZQRNJn9XnSWefo"
"157","10139","2035.0",-21.8806,-51.8532,"ChIJm2JExDR7kZQRNJn9XnSWefo"
"158","1014","13617.0",-4.1633,-40.7504,"ChIJNbZNNDHklAcRNM05MAYzrqk"
"159","10140","2041.0",-21.5399,-49.8579,"ChIJfa0ULIEFvpQRv1ycubCcs8s"
"160","10141","2041.0",-21.5399,-49.8579,"ChIJdSFILIEFvpQRHtb0xjyOMrQ"
"161","10142","2041.0",-21.5399,-49.8579,"ChIJdSFILIEFvpQRHtb0xjyOMrQ"
"162","10143","2045.0",-22.2451,-50.7001,"ChIJ97KgxcFUlJQRS-PDFYDXU4c"
"163","10144","2045.0",-22.2451,-50.7001,"ChIJ97KgxcFUlJQRS-PDFYDXU4c"
"164","10145","2051.0",-22.5398,-44.7709,"EjRQcmHDp2EgUG9ydHVnYWwsIDE3NCwgUXVlbHV6IC0gU1AsIDEyODAwLTAwMCwgQnJhemlsIhsSGQoUChIJ9QXntnDmnQARFR-Axur9WuQQrgE"
"165","10146","2051.0",-22.5398,-44.7709,"EjRQcmHDp2EgUG9ydHVnYWwsIDE3NCwgUXVlbHV6IC0gU1AsIDEyODAwLTAwMCwgQnJhemlsIhsSGQoUChIJ9QXntnDmnQARFR-Axur9WuQQrgE"
"166","10147","2051.0",38.7574,-9.2587,"ChIJ_x2ptsfNHg0Rg4rySJ1SDmQ"
"167","10148","2063.0",-22.6615,-51.0766,"ChIJve3dGxOUlJQRN4BAUawDyeY"
"168","10149","2063.0",-22.6199,-51.2376,"ChIJsfprLMuElJQRG6E7rYgJ4Ds"
"169","1015","13659.0",-8.8358,-48.5119,"ChIJvTiffO24JpMRNDSLHOpwkFs"
"170","10150","2063.0",-22.2279,-50.8931,"ChIJx2yBoQRblJQRUSb0vdPW3Ks"
"171","10151","2073.0",-22.2141,-51.3022,"EjtSLiBDYXJsb3MgQmVsdHJhbWksIDEwLCBSZWcuIEZlaWrDsyAtIFNQLCAxOTU3MC0wMDAsIEJyYXppbCIaEhgKFAoSCakrKJk1dJSUEQIW069eYcpZEAo"
"172","10152","2073.0",-22.2141,-51.3022,"EjtSLiBDYXJsb3MgQmVsdHJhbWksIDEwLCBSZWcuIEZlaWrDsyAtIFNQLCAxOTU3MC0wMDAsIEJyYXppbCIaEhgKFAoSCakrKJk1dJSUEQIW069eYcpZEAo"
"173","10153","2073.0",-22.2189,-51.3064,"ChIJjWAZW8t1lJQR4p00ZZp3lJo"
"174","10154","2073.0",-22.3918,-51.2933,"ChIJJ16TkzJ5lJQRs4DG5KIRoUE"
"175","10155","2074.0",-24.4965,-47.8493,"ChIJ8ZqMRYQzxZQRzMQ_7yce-bg"
"176","10156","2074.0",-24.4965,-47.8493,"ChIJ8ZqMRYQzxZQRzMQ_7yce-bg"
"177","10157","2074.0",-24.4965,-47.8493,"ChIJ8ZqMRYQzxZQRzMQ_7yce-bg"
"178","10158","2074.0",-24.4964,-47.8495,"ChIJQR_ST4QzxZQR2_sIhoB5Chs"
"179","10159","2074.0",-24.4965,-47.8493,"ChIJ8ZqMRYQzxZQRzMQ_7yce-bg"
"180","1016","13617.0",-4.2618,-38.9331,"ChIJA-fWK9M9vwcRdkACBt4o860"
"181","10160","2093.0",-22.0688,-48.1751,"ChIJW8T5ZjmEuJQRGJyKCbMo2FI"
"182","10161","2093.0",-22.0688,-48.1751,"ChIJW8T5ZjmEuJQRGJyKCbMo2FI"
"183","10162","2098.0",-23.7176,-46.4099,"ChIJ2-Lk-OdszpQRMuQzgCFpEGA"
"184","10163","2098.0",-23.7086,-46.4176,"ChIJRf_D_eJszpQR8m6ysM_YAxs"
"185","10164","2098.0",-23.7086,-46.4176,"ChIJRf_D_eJszpQR8m6ysM_YAxs"
"186","10165","2098.0",-23.7086,-46.4176,"ChIJRf_D_eJszpQR8m6ysM_YAxs"
"187","10166","2098.0",-23.7086,-46.4176,"ChIJRf_D_eJszpQR8m6ysM_YAxs"
"188","10167","2098.0",-23.7472,-46.3986,"ChIJc2g4J98SzpQRXsXYeyvmvvY"
"189","10168","2099.0",-21.2001,-47.7696,"ChIJ-0dVcKy4uZQRbsrUn4NuBsc"
"190","10169","2099.0",-21.2001,-47.7696,"ChIJ-0dVcKy4uZQRbsrUn4NuBsc"
"191","1017","13653.0",-26.4743,-49.0023,"ChIJvRAQVqC_3pQRz7x5C8uwXJw"
"192","10170","2099.0",-21.2001,-47.7696,"ChIJ-0dVcKy4uZQRbsrUn4NuBsc"
"193","10171","2099.0",-21.2001,-47.7696,"ChIJ-0dVcKy4uZQRbsrUn4NuBsc"
"194","10172","2099.0",-21.2001,-47.7696,"ChIJ-0dVcKy4uZQRbsrUn4NuBsc"
"195","10173","2099.0",-21.2001,-47.7696,"ChIJ-0dVcKy4uZQRbsrUn4NuBsc"
"196","10174","2099.0",-21.2001,-47.7696,"ChIJ-0dVcKy4uZQRbsrUn4NuBsc"
"197","10175","2099.0",-21.2001,-47.7696,"ChIJ-0dVcKy4uZQRbsrUn4NuBsc"
"198","10176","2099.0",-21.2001,-47.7696,"ChIJ-0dVcKy4uZQRbsrUn4NuBsc"
"199","10177","2099.0",-21.2001,-47.7696,"ChIJ-0dVcKy4uZQRbsrUn4NuBsc"
"200","10178","2099.0",-21.2001,-47.7696,"ChIJ-0dVcKy4uZQRbsrUn4NuBsc"
"201","10179","2099.0",-21.2001,-47.7696,"ChIJ-0dVcKy4uZQRbsrUn4NuBsc"
"202","1018","13627.0",-21.2954,-46.7977,"ChIJO5HNbKBStpQR_HFJcwhywCw"
"203","10180","2099.0",-21.2001,-47.7696,"ChIJ-0dVcKy4uZQRbsrUn4NuBsc"
"204","10181","2099.0",-21.2001,-47.7696,"ChIJ-0dVcKy4uZQRbsrUn4NuBsc"
"205","10182","2099.0",-21.2,-47.7693,"ChIJvyHJbqy4uZQR5LVlB7WS66Y"
"206","10183","2099.0",-21.2001,-47.7696,"ChIJ-0dVcKy4uZQRbsrUn4NuBsc"
"207","10184","2099.0",-21.2001,-47.7696,"ChIJ-0dVcKy4uZQRbsrUn4NuBsc"
"208","10185","2099.0",-21.2001,-47.7696,"ChIJ-0dVcKy4uZQRbsrUn4NuBsc"
"209","10186","2099.0",-21.2001,-47.7696,"ChIJ-0dVcKy4uZQRbsrUn4NuBsc"
"210","10187","2099.0",-21.2001,-47.7696,"ChIJ-0dVcKy4uZQRbsrUn4NuBsc"
"211","10188","2099.0",-21.2,-47.7693,"ChIJvyHJbqy4uZQR5LVlB7WS66Y"
"212","10189","2099.0",-21.2,-47.7693,"ChIJvyHJbqy4uZQR5LVlB7WS66Y"
"213","1019","13627.0",-21.3597,-43.0447,"ChIJOZzQwkzwogARWQ4XLJv5ktU"
"214","10190","2109.0",-22.4198,-47.5544,"EipSLiBVbSwgMTgwIC0gU2F1ZGUsIFJpbyBDbGFybyAtIFNQLCBCcmF6aWwiGxIZChQKEgl1kJzOadrHlBHULtkLRYpmdhC0AQ"
"215","10191","2109.0",-22.4128,-47.5624,"ChIJ0eLcFVjax5QRgwVY52Gqtmc"
"216","10192","2109.0",-22.4128,-47.5624,"ChIJ0eLcFVjax5QRgwVY52Gqtmc"
"217","10193","2109.0",-22.4128,-47.5624,"ChIJ0eLcFVjax5QRgwVY52Gqtmc"
"218","10194","2109.0",-22.4128,-47.5624,"ChIJ0eLcFVjax5QRgwVY52Gqtmc"
"219","10195","2109.0",-22.4128,-47.5624,"ChIJ0eLcFVjax5QRgwVY52Gqtmc"
"220","10196","2109.0",-22.4128,-47.5624,"ChIJ0eLcFVjax5QRgwVY52Gqtmc"
"221","10197","2109.0",-22.4128,-47.5624,"ChIJ30Ky8Vnax5QRys7U2vxLwX8"
"222","10198","2109.0",-22.4128,-47.5624,"ChIJ0eLcFVjax5QRgwVY52Gqtmc"
"223","10199","2109.0",-22.4128,-47.5624,"ChIJ0eLcFVjax5QRgwVY52Gqtmc"
"224","102","13627.0",-20.8609,-46.3866,"ChIJbdn67biPtpQR9QUJIDWIqRM"
"225","1020","13651.0",-28.146,-54.5565,"ChIJ7X7GZajF_pQRd1Bo5ZVjGM0"
"226","10200","2148.0",-22.5268,-52.9499,"ChIJJwwHOAPsjZQRq31aSRWLqgU"
"227","10201","2148.0",-22.5268,-52.9499,"ChIJJwwHOAPsjZQRq31aSRWLqgU"
"228","10202","2169.0",-22.8918,-49.9851,"ChIJs0bB0zEdwJQR8GryG_D1T7k"
"229","10203","2169.0",-22.8903,-49.9842,"ChIJNYrXxS4dwJQR-7JiTL31wcU"
"230","10204","2169.0",-22.8903,-49.9842,"ChIJNYrXxS4dwJQR-7JiTL31wcU"
"231","10205","2169.0",-22.8903,-49.9842,"ChIJNYrXxS4dwJQR-7JiTL31wcU"
"232","10206","2175.0",-21.244,-48.8046,"ChIJcdadg3uuvpQRpO4gtKvJv1I"
"233","10207","2175.0",-21.244,-48.8046,"ChIJcdadg3uuvpQRpO4gtKvJv1I"
"234","10208","2178.0",-22.7554,-47.4264,"ChIJ2eKhWrydyJQR9UqCEe3YOjc"
"235","10209","2178.0",-22.7554,-47.4264,"ChIJ2eKhWrydyJQR9UqCEe3YOjc"
"236","1021","13641.0",-25.0973,-52.876,"ChIJo_qyx1Xv8ZQR7DQzP1AKKNw"
"237","10210","2178.0",-22.7554,-47.4264,"ChIJ2eKhWrydyJQR9UqCEe3YOjc"
